index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,654.0200301562561,2729.7325269646976
0,polygon,1,696.6432840086734,2674.3222969565554
0,polygon,2,739.2665378610907,2614.649741563171
0,polygon,3,752.0535140168158,2563.5018369402706
0,polygon,4,798.9390932544748,2537.9278846288203
0,polygon,5,845.8246724921337,2542.190210014062
0,polygon,6,918.2842040412431,2584.813463866479
0,polygon,7,990.7437355903526,2614.649741563171
0,polygon,8,1046.153965598495,2614.649741563171
0,polygon,9,1088.777219450912,2640.2236938746214
0,polygon,10,1105.826520991879,2776.6181062023566
0,polygon,11,1148.4497748442964,2789.405082358082
0,polygon,12,1195.3353540819553,2751.0441538909063
0,polygon,13,1203.8600048524388,2708.420900038489
0,polygon,14,1216.646981008164,2618.9120669484128
0,polygon,15,1220.9093063934056,2550.714860784545
0,polygon,16,1276.319536401548,2486.7799800059192
0,polygon,17,1344.5167425654158,2456.9437023092273
0,polygon,18,1485.1734802783926,2448.419051538744
0,polygon,19,1544.846035671777,2456.9437023092273
0,polygon,20,1591.7316149094358,2529.4032338583365
0,polygon,21,1630.0925433766115,2567.764162325512
0,polygon,22,1689.7650987699956,2640.2236938746214
0,polygon,23,1732.3883526224129,2674.3222969565554
0,polygon,24,1775.01160647483,2755.3064792761484
0,polygon,25,1813.3725349420056,2849.077637751466
0,polygon,26,1817.6348603272472,2938.5864708415425
0,polygon,27,1775.01160647483,3015.3083277758933
0,polygon,28,1749.4376541633796,3134.653438562662
0,polygon,29,1749.4376541633796,3181.539017800321
0,polygon,30,1817.6348603272472,3211.3752954970128
0,polygon,31,1868.7827649501482,3147.440414718387
0,polygon,32,1868.7827649501482,3096.2925100954863
0,polygon,33,1873.04509033539,3053.669256243069
0,polygon,34,1877.3074157206315,2989.734375464443
0,polygon,35,1902.8813680320818,2942.848796226784
0,polygon,36,1954.0292726549824,2895.963216989125
0,polygon,37,1996.6525265073997,2853.339963136708
0,polygon,38,2069.1120580565093,2827.7660108252576
0,polygon,39,2120.25996267941,2802.1920585138073
0,polygon,40,2162.883216531827,2785.1427569728403
0,polygon,41,2260.9167003923867,2772.355780817115
0,polygon,42,2303.539954244804,2776.6181062023566
0,polygon,43,2358.9501842529467,2802.1920585138073
0,polygon,44,2341.9008827119796,2853.339963136708
0,polygon,45,2312.0646050152877,2917.274843915334
0,polygon,46,2316.3269304005294,2959.898097767751
0,polygon,47,2363.2125096381883,2955.6357723825095
0,polygon,48,2444.1966919577812,2917.274843915334
0,polygon,49,2512.393898121649,2891.7008916038835
0,polygon,50,2623.2143581379337,2942.848796226784
0,polygon,51,2631.739008908417,2985.4720500792014
0,polygon,52,2653.0506358346256,3113.3418116364533
0,polygon,53,2653.0506358346256,3271.047850890397
0,polygon,54,2691.4115643018013,3718.592016340778
0,polygon,55,2687.1492389165596,3795.3138732751295
0,polygon,56,2665.837611990351,3872.0357302094803
0,polygon,57,2640.2636596789007,3931.7082856028646
0,polygon,58,2601.902731211725,3965.806888684798
0,polygon,59,2546.4925012035824,3978.5938648405236
0,polygon,60,2499.6069219659234,3982.856190225765
0,polygon,61,2456.983668113506,4068.1026979306
0,polygon,62,2435.6720411872975,4132.037578709225
0,polygon,63,2414.360414261089,4178.923157946885
0,polygon,64,2363.2125096381883,4221.546411799302
0,polygon,65,2324.8515811710126,4200.234784873093
0,polygon,66,2265.179025777629,4140.5622294797095
0,polygon,67,2214.0311211547278,4127.775253323984
0,polygon,68,2192.719494228519,4166.136181791159
0,polygon,69,2128.784613449893,4178.923157946885
0,polygon,70,2073.374383441751,4161.873856405918
0,polygon,71,2013.7018280483667,4132.037578709225
0,polygon,72,1945.504621884499,4136.299904094468
0,polygon,73,1877.3074157206315,4093.6766502420505
0,polygon,74,1847.4711380239396,4055.315721774875
0,polygon,75,1817.6348603272472,3914.6589840618976
0,polygon,76,1881.5697411058732,3867.7734048242387
0,polygon,77,1915.6683441878072,3837.937127127547
0,polygon,78,1924.1929949582905,3774.002246348921
0,polygon,79,1924.1929949582905,3701.542714799811
0,polygon,80,1949.7669472697407,3663.181786332636
0,polygon,81,1996.6525265073997,3573.6729532425597
0,polygon,82,1945.504621884499,3612.033881709735
0,polygon,83,1885.8320664911148,3667.4441117178776
0,polygon,84,1809.110209556764,3697.2803894145695
0,polygon,85,1809.110209556764,3744.1659686522285
0,polygon,86,1753.6999795486213,3808.1008494308544
0,polygon,87,1711.0767256962042,3842.1994525127884
0,polygon,88,1638.6171941470948,3867.7734048242387
0,polygon,89,1570.4199879832272,3901.8720079061727
0,polygon,90,1523.5344087455683,3935.9706109881063
0,polygon,91,1472.3865041226675,3965.806888684798
0,polygon,92,1429.7632502702502,3987.118515611007
0,polygon,93,1361.5660441063826,4016.954793307699
0,polygon,94,1191.0730286967137,4016.954793307699
0,polygon,95,1148.4497748442964,4021.217118692941
0,polygon,96,1058.9409417542201,4076.627348701083
0,polygon,97,1016.3176879018029,4097.938975627292
0,polygon,98,973.6944340493856,4132.037578709225
0,polygon,99,922.5465294264848,4059.5780471601165
0,polygon,100,896.9725771150345,4021.217118692941
0,polygon,101,879.9232755740677,3974.331539455282
0,polygon,102,867.1362994183423,3927.445960217623
0,polygon,103,803.2014186397166,3867.7734048242387
0,polygon,104,717.954910934882,3829.412476357063
0,polygon,105,696.6432840086734,3786.7892225046457
0,polygon,106,666.8070063119812,3731.3789924965035
0,polygon,107,636.9707286152892,3663.181786332636
0,polygon,108,560.2488716809381,3543.8366755458674
0,polygon,109,547.461895525213,3496.9510963082084
0,polygon,110,564.5111970661799,3454.327842455791
0,polygon,111,568.7735224514216,3364.819009365715
0,polygon,112,534.6749193694877,3202.8506447265295
0,polygon,113,560.2488716809381,3121.8664624069365
0,polygon,114,564.5111970661799,3062.1939070135522
0,polygon,115,547.461895525213,2989.734375464443
0,polygon,116,555.9865462956964,2925.799494685817
0,polygon,117,577.298173221905,2878.913915448158
