index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,688.1186332381899,1783.4962914410346
0,polygon,1,786.1521170987496,1698.2497837362
0,polygon,2,833.0376963364085,1672.6758314247497
0,polygon,3,833.0376963364085,1719.5614106624087
0,polygon,4,841.562347106892,1770.7093152853095
0,polygon,5,867.1362994183423,1813.3325691377268
0,polygon,6,905.497227885518,1860.2181483753857
0,polygon,7,939.5958309674518,1898.579076842561
0,polygon,8,960.9074578936604,1936.9400053097365
0,polygon,9,1007.7930371313194,1988.0879099326376
0,polygon,10,1050.4162909837366,2052.0227907112635
0,polygon,11,1122.875822532846,2103.170695334164
0,polygon,12,1191.0730286967137,2188.4172030389987
0,polygon,13,1212.3846556229223,2265.1390599733495
0,polygon,14,1220.9093063934056,2371.6971946043927
0,polygon,15,1246.483258704856,2418.5827738420517
0,polygon,16,1306.1558140982402,2452.6813769239857
0,polygon,17,1378.6153456473496,2444.156726153502
0,polygon,18,1399.9269725735583,2405.7957976863268
0,polygon,19,1353.041393335899,2384.484170760118
0,polygon,20,1318.9427902539653,2333.336266137217
0,polygon,21,1348.7790679506575,2282.1883615143165
0,polygon,22,1425.5009248850085,2277.926036129075
0,polygon,23,1510.7474325898431,2294.975337670042
0,polygon,24,1574.682313368469,2316.2869645962505
0,polygon,25,1608.7809164504029,2380.2218453748765
0,polygon,26,1634.3548687618531,2431.369749997777
0,polygon,27,1638.6171941470948,2499.5669561616446
0,polygon,28,1638.6171941470948,2563.5018369402706
0,polygon,29,1630.0925433766115,2644.486019259863
0,polygon,30,1638.6171941470948,2742.519503120423
0,polygon,31,1676.9781226142704,2832.028336210499
0,polygon,32,1689.7650987699956,2891.7008916038835
0,polygon,33,1676.9781226142704,3053.669256243069
0,polygon,34,1698.289749540479,3126.128787792178
0,polygon,35,1753.6999795486213,3121.8664624069365
0,polygon,36,1796.3232334010386,3130.3911131774203
0,polygon,37,1851.7334634091812,3185.8013431855625
0,polygon,38,1855.9957887944229,3228.4245970379798
0,polygon,39,1855.9957887944229,3283.834827046122
0,polygon,40,1843.2088126386975,3326.4580808985393
0,polygon,41,1809.110209556764,3390.392961677165
0,polygon,42,1766.4869557043467,3441.540866300066
0,polygon,43,1685.502773384754,3445.803191685308
0,polygon,44,1608.7809164504029,3433.0162155295825
0,polygon,45,1570.4199879832272,3386.1306362919236
0,polygon,46,1527.79673413081,3369.0813347509566
0,polygon,47,1523.5344087455683,3445.803191685308
0,polygon,48,1544.846035671777,3488.426445537725
0,polygon,49,1553.3706864422604,3535.312024775384
0,polygon,50,1497.960456434118,3654.6571355621522
0,polygon,51,1468.1241787374258,3697.2803894145695
0,polygon,52,1446.8125518112172,3748.4282940374706
0,polygon,53,1493.6981310488761,3791.051547889888
0,polygon,54,1549.1083610570186,3825.1501509718214
0,polygon,55,1583.2069641389523,3884.8227063652057
0,polygon,56,1489.4358056636345,3893.347357135689
0,polygon,57,1416.976274114525,3872.0357302094803
0,polygon,58,1365.8283694916245,3867.7734048242387
0,polygon,59,1259.2702348605812,3876.298055594722
0,polygon,60,1212.3846556229223,3901.8720079061727
0,polygon,61,1165.4990763852632,3923.183634832381
0,polygon,62,1084.5148940656704,3927.445960217623
0,polygon,63,1037.6293148280115,3914.6589840618976
0,polygon,64,977.9567594346272,3863.511079438997
0,polygon,65,926.8088548117266,3850.7241032832717
0,polygon,66,884.1856009593093,3854.9864286685133
0,polygon,67,833.0376963364085,3812.363174816096
0,polygon,68,790.4144424839913,3756.952944807954
0,polygon,69,769.1028155577826,3710.067365570295
0,polygon,70,769.1028155577826,3663.181786332636
0,polygon,71,760.5781647872993,3607.7715563244933
0,polygon,72,726.4795617053655,3565.148302472076
0,polygon,73,692.3809586234316,3535.312024775384
0,polygon,74,675.3316570824647,3475.639469382
0,polygon,75,709.4302601643985,3433.0162155295825
0,polygon,76,726.4795617053655,3390.392961677165
0,polygon,77,628.4460778448057,3352.03203320999
0,polygon,78,581.5604986071468,3313.6711047428144
0,polygon,79,615.6591016890806,3211.3752954970128
0,polygon,80,611.3967763038388,3109.0794862512116
0,polygon,81,560.2488716809381,3023.832978546377
0,polygon,82,534.6749193694877,2959.898097767751
0,polygon,83,547.461895525213,2917.274843915334
0,polygon,84,683.8563078529481,2917.274843915334
0,polygon,85,675.3316570824647,2853.339963136708
0,polygon,86,564.5111970661799,2763.8311300466316
0,polygon,87,517.6256178285208,2716.9455508089727
0,polygon,88,475.00236397610365,2665.7976461860717
0,polygon,89,449.42841166465325,2614.649741563171
0,polygon,90,415.32980858271947,2563.5018369402706
0,polygon,91,436.6414355089281,2465.4683530797106
0,polygon,92,440.90376089416975,2397.271146915843
0,polygon,93,423.85445935320286,2341.860916907701
