index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,517.6256178285208,4319.579895659862
0,polygon,1,700.9056093939151,4302.530594118894
0,polygon,2,743.5288632463323,4272.694316422203
0,polygon,3,794.6767678692331,4230.071062569786
0,polygon,4,875.6609501888258,4178.923157946885
0,polygon,5,918.2842040412431,4170.398507176401
0,polygon,6,1012.055362516561,4183.185483332127
0,polygon,7,1041.8916402132531,4247.120364110752
0,polygon,8,1122.875822532846,4383.514776438487
0,polygon,9,1174.0237271557467,4340.89152258607
0,polygon,10,1199.5976794671972,4285.481292577928
0,polygon,11,1263.5325602458229,4234.333387955027
0,polygon,12,1331.7297664096905,4213.021761028818
0,polygon,13,1395.6646471883164,4187.447808717368
0,polygon,14,1489.4358056636345,4144.824554864951
0,polygon,15,1630.0925433766115,4076.627348701083
0,polygon,16,1676.9781226142704,4038.2664202339074
0,polygon,17,1732.3883526224129,3987.118515611007
0,polygon,18,1800.5855587862807,3910.396658676656
0,polygon,19,1826.159511097731,3867.7734048242387
0,polygon,20,1864.5204395649062,3778.2645717341625
0,polygon,21,1851.7334634091812,3727.116667111262
0,polygon,22,1830.4218364829726,3680.2310878736025
0,polygon,23,1813.3725349420056,3594.9845801687684
0,polygon,24,1817.6348603272472,3501.21342169345
0,polygon,25,1817.6348603272472,3322.1957555132976
0,polygon,26,1834.6841618682142,3219.8999462674965
0,polygon,27,1894.3567172615985,3023.832978546377
0,polygon,28,1894.3567172615985,2972.685073923476
0,polygon,29,1864.5204395649062,2891.7008916038835
0,polygon,30,1864.5204395649062,2844.8153123662246
0,polygon,31,1954.0292726549824,2793.6674077433236
0,polygon,32,1983.8655503516748,2755.3064792761484
0,polygon,33,2035.0134549745753,2682.8469477270387
0,polygon,34,2086.161359597476,2648.748344645105
0,polygon,35,2145.83391499086,2606.125090792688
0,polygon,36,2222.5557719252115,2554.977186169787
0,polygon,37,2299.2776288595624,2563.5018369402706
0,polygon,38,2324.8515811710126,2627.4367177188965
0,polygon,39,2337.638557326738,2733.9948523499397
0,polygon,40,2350.425533482463,2776.6181062023566
0,polygon,41,2435.6720411872975,2772.355780817115
0,polygon,42,2465.50831888399,2704.1585746532473
0,polygon,43,2491.08227119544,2584.813463866479
0,polygon,44,2491.08227119544,2508.091606932128
0,polygon,45,2525.1808742773737,2452.6813769239857
0,polygon,46,2601.902731211725,2495.304630776403
0,polygon,47,2631.739008908417,2593.3381146369625
0,polygon,48,2704.1985404575266,2823.503685440016
0,polygon,49,2849.117603555745,3727.116667111262
0,polygon,50,2853.3799289409867,4195.972459487852
0,polygon,51,2836.33062740002,4417.613379520421
0,polygon,52,2836.33062740002,4494.335236454773
0,polygon,53,2768.133421236152,4532.696164921948
0,polygon,54,2704.1985404575266,4617.942672626783
0,polygon,55,2644.5259850641423,4652.041275708716
0,polygon,56,2593.3780804412413,4660.565926479199
0,polygon,57,2525.1808742773737,4669.0905772496835
0,polygon,58,2427.1473904168142,4686.13987879065
0,polygon,59,2333.3762319414964,4698.926854946375
0,polygon,60,2196.981819613761,4703.189180331617
0,polygon,61,2115.9976372941683,4703.189180331617
0,polygon,62,1924.1929949582905,4681.877553405408
0,polygon,63,1711.0767256962042,4686.13987879065
0,polygon,64,1617.3055672208861,4686.13987879065
0,polygon,65,1502.2227818193596,4681.877553405408
0,polygon,66,1229.433957163889,4681.877553405408
0,polygon,67,1161.2367510000215,4686.13987879065
0,polygon,68,922.5465294264848,4677.615228020167
0,polygon,69,875.6609501888258,4677.615228020167
0,polygon,70,803.2014186397166,4630.729648782508
0,polygon,71,645.4953793857726,4575.319418774366
0,polygon,72,496.3139909023122,4562.53244261864
0,polygon,73,432.37911012368636,4558.270117233398
0,polygon,74,359.91957857457703,4549.745466462915
0,polygon,75,313.033999336918,4532.696164921948
0,polygon,76,266.14842009925906,4464.49895875808
0,polygon,77,295.9846977959511,4413.35105413518
0,polygon,78,415.32980858271947,4345.153847971312
1,polygon,0,602.8721255333554,3475.639469382
1,polygon,1,602.8721255333554,3548.099000931109
1,polygon,2,632.7084032300475,3710.067365570295
1,polygon,3,679.5939824677065,3837.937127127547
1,polygon,4,696.6432840086734,3893.347357135689
1,polygon,5,726.4795617053655,3974.331539455282
1,polygon,6,798.9390932544748,4004.1678171519743
1,polygon,7,871.3986248035842,3999.9054917667318
1,polygon,8,922.5465294264848,4016.954793307699
1,polygon,9,990.7437355903526,4016.954793307699
1,polygon,10,1071.7279179099453,3991.3808409962485
1,polygon,11,1122.875822532846,3961.5445632995566
1,polygon,12,1208.1223302376804,3940.232936373348
1,polygon,13,1310.418139483482,3901.8720079061727
1,polygon,14,1442.5502264259756,3901.8720079061727
1,polygon,15,1523.5344087455683,3893.347357135689
1,polygon,16,1583.2069641389523,3867.7734048242387
1,polygon,17,1613.0432418356445,3825.1501509718214
1,polygon,18,1664.1911464585453,3774.002246348921
1,polygon,19,1608.7809164504029,3688.7557386440863
1,polygon,20,1587.4692895241942,3624.8208578654603
1,polygon,21,1587.4692895241942,3467.1148186115165
1,polygon,22,1553.3706864422604,3369.0813347509566
1,polygon,23,1578.9446387537107,3300.884128587089
1,polygon,24,1634.3548687618531,3219.8999462674965
1,polygon,25,1655.6664956880618,3168.7520416445955
1,polygon,26,1557.633011827502,3121.8664624069365
1,polygon,27,1387.1399964178331,3096.2925100954863
1,polygon,28,1233.696282549131,3096.2925100954863
1,polygon,29,1186.8107033114718,3121.8664624069365
1,polygon,30,1195.3353540819553,3219.8999462674965
1,polygon,31,1131.4004733033294,3275.3101762756387
1,polygon,32,1088.777219450912,3305.1464539723306
1,polygon,33,1046.153965598495,3288.097152431364
1,polygon,34,1016.3176879018029,3215.6376208822544
1,polygon,35,973.6944340493856,3168.7520416445955
1,polygon,36,926.8088548117266,3130.3911131774203
1,polygon,37,875.6609501888258,3096.2925100954863
1,polygon,38,824.513045565925,3074.9808831692776
1,polygon,39,777.6274663282661,3117.604137021695
1,polygon,40,752.0535140168158,3155.9650654888706
1,polygon,41,696.6432840086734,3224.162271652738
1,polygon,42,671.069331697223,3283.834827046122
1,polygon,43,649.7577047710143,3326.4580808985393
